USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Ridge S of Wisconsin Creek,26-May-30,38.94861,-117.22056,female,,Tamias,Rodentia,Sciuridae,8000,8400,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Wisconsin Creek,26-May-30,38.95,-117.22,female,,Tamias,Rodentia,Sciuridae,7800,7800,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,4-Jun-30,39.25556,-117.1625,male,,Tamias,Rodentia,Sciuridae,7500,7500,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,4-Jun-30,39.25556,-117.1625,female,,Tamias,Rodentia,Sciuridae,7500,7500,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,5-Jun-30,39.25556,-117.1625,male,,Tamias,Rodentia,Sciuridae,7500,7500,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,13-Jun-30,39.25556,-117.1625,female,,Tamias,Rodentia,Sciuridae,7500,7500,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Creek,19-Jun-30,39.23861,-116.98667,female,,Tamias,Rodentia,Sciuridae,7100,7100,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Creek,19-Jun-30,39.23861,-116.98667,male,,Tamias,Rodentia,Sciuridae,7100,7100,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Cleve Creek, Shell Creek Range",3-Aug-30,39.23333,-114.47222,male,,Tamias,Rodentia,Sciuridae,8300,8300,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Cleve Creek, Shell Creek Range",7-Aug-30,39.23333,-114.47222,female,,Tamias,Rodentia,Sciuridae,8200,8200,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Cleve Creek, Shell Creek Range",7-Aug-30,39.23333,-114.47222,female,,Tamias,Rodentia,Sciuridae,8200,8200,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,3 mi W Hamilton,19-Aug-30,39.25306,-115.54149,male,,Tamias,Rodentia,Sciuridae,8100,8100,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,3 mi W Hamilton,22-Aug-30,39.25306,-115.54149,male,,Tamias,Rodentia,Sciuridae,8600,8600,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,2.5 mi SW Hamilton,24-Aug-30,39.23256,-115.51193,male,,Tamias,Rodentia,Sciuridae,7600,7600,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Halstead Creek, 1 mi W Illipah",28-Jul-30,39.3575,-115.34978,male,,Tamias,Rodentia,Sciuridae,6200,6200,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Cherry Creek,10-Sep-30,39.90056,-114.885,female,,Tamias,Rodentia,Sciuridae,6800,6800,Tamias umbrinus
