USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/12/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/12/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/12/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/11/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/7/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/7/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/8/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/8/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/8/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/12/79,40.91722,-118.38278,female,adult,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/12/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/8/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,18.5 km SE of Austin,6-May-17,39.39649706,-116.8969371,female,juvenile,Urocitellus,Rodentia,Sciuridae,1741,1741,Urocitellus mollis
