USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Feb-46,35.309,-83.6477,male,,Myotis,Chiroptera,Vespertilionidae
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,North Carolina,Hewitt,12-Feb-46,35.309,-83.6477,male,,Plecotus,Chiroptera,Vespertilionidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Microtus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Microtus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Microtus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Synaptomys,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Synaptomys,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,female,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,female,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,female,,Blarina,Soricomorpha,Soricidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,female,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,female,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Peromyscus,Rodentia,Cricetidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,male,,Blarina,Soricomorpha,Soricidae
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,North Carolina,"Silers Bald, Great Smoky Mountains National Park",[transcribed directly into formatted date fields],35.565648,-83.565443,female,,Blarina,Soricomorpha,Soricidae
