Species;Family;Clade;type_of_care;number_of_parents;care_duration;care_duration_in_males;care_in_males_binary;care_duration_in_females;care_in_females_binary;protection;protection_in_males;protection_in_females;nourishment_by_females;nourishment_by_females_binary;terrestrial_reproduction;direct_development;female_SVL ;male_SVL;average_male_female_SVL;SSD;Egg_diameter;Log_egg_diameter;Clutch_size;Log_Clutch_size;Clutch_volume;Log_Clutch_volume;Parental care references;Terrestrial / aquatic reproduction references;Direct development references;Female size references;Male size references;Egg size references;Clutch size references
Duttaphrynus_melanostictus;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;111;68,5;89,75;-0,21;1,15;0,06;4500;3,65;4671,73;3,67;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2278;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012
Duttaphrynus_stomaticus;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;74;NA;NA;NA;1,3;0,11;10000;4;13266,5;4,12;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2223;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Ecnomiohlya_rabborum;Hylidae;Hylidae;male-only care ;1;2;2;1;0;0;2;2;0;1;1;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN;;IUCN;;;;
Ecnomiohyla_miotympanum;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;39,7;28,5;34,1;-0,14;2,4;0,38;120;2,08;542,59;2,73;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Edalorhina_perezi;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;34,85;26,9;30,88;-0,11;2,05;0,31;92,5;1,97;305,15;2,48;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Elachistocleis_bicolor;Microhylidae;Microhylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;32,5;22,5;NA;NA;1;0;620;NA;486,7;2,69;Summers et al. 2006;;Amphibiaweb;Rodrigues et al. 2003;Rodrigues et al. 2003;Summers et al. 2006;Rodrigues et al. 2003
Eleutherodactylus_abbotti;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;1;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;;;;
Eleutherodactylus_albipes;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;1;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;;;;
Eleutherodactylus_alticola;Eleutherodactylidae;Terrarana;either parent;1;1;1;1;1;1;2;2;2;2;1;1;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;;;;
Eleutherodactylus_amadeus;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_amplinympha;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;;IUCN;;;;
Eleutherodactylus_antillensis;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;33;1,52;NA;NA;Amphibiaweb, Wells 2007;;IUCN;;;;Amphibiaweb
Eleutherodactylus_atkinsi;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;1;present;43;NA;NA;NA;4;0,6;68;1,83;854,08;2,93;Amphibiaweb, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Eleutherodactylus_auriculatoides;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;;
Eleutherodactylus_auriculatus;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;1;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Drewry & Jones 1976;Amphibiaweb;Gomez-Mestre et al. 2012;;;;
Eleutherodactylus_bakeri;Eleutherodactylidae;Terrarana;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;;
Eleutherodactylus_cochranae;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_cooki;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;1;present;37;NA;NA;NA;4;0,6;25;1,4;314;2,5;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Eleutherodactylus_coqui;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;1;present;37,45;33,4;35,43;-0,05;3,75;0,57;26;1,41;287,02;2,46;Amphibiaweb, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013
Eleutherodactylus_cundalli;Eleutherodactylidae;Terrarana;female-only care ;1;3;0;0;3;1;2;0;2;2;1;1;present;38,85;32,3;35,58;-0,08;4,2;0,62;46,8;1,67;648,06;2,81;Diesel et al. 1995;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Eleutherodactylus_dimidiatus;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;1;present;45;NA;NA;NA;3,85;0,59;42;1,62;488,7;2,69;Amphibiaweb, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Eleutherodactylus_glandulifer;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_glaucoreius;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_guantanamera;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_hedricki;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Rivero 1963;;Amphibiaweb;;;;
Eleutherodactylus_inoptatus;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;1;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;Amphibiaweb;Amphibiaweb;;;;
Eleutherodactylus_intermedius;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;20;17;18,5;-0,07;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;Amphibiaweb;Amphibiaweb;;
Eleutherodactylus_jasperi;Eleutherodactylidae;Terrarana;female-only care ;1;2;0;0;2;1;5;0;5;2;1;1;present;NA;NA;NA;NA;3,3;0,52;NA;NA;NA;NA;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;;;Summers et al. 2006;
Eleutherodactylus_johnstonei;Eleutherodactylidae;Terrarana;biparental care;2;1;1;1;1;1;2;2;2;2;1;1;present;26,45;23,1;24,78;-0,06;3,1575;0,5;20;1,3;156,53;2,19;Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Eleutherodactylus_martinicensis;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;1;present;39,5;NA;NA;NA;4,25;0,63;34,5;1,54;489,18;2,69;Amphibiaweb, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Eleutherodactylus_montanus;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_nubicola;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;1;present;32;NA;NA;NA;3;0,48;50;1,7;353,25;2,55;IUCN, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Eleutherodactylus_pantoni;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_pentasyringos;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_planirostris;Eleutherodactylidae;Terrarana;no care;0;0;0;0;0;0;0;0;0;2;1;1;present;22,25;NA;NA;NA;4;0,6;14,25;1,15;178,98;2,25;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013
Eleutherodactylus_portoricensis;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_richmondi;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_tetajulia;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;14;12;13;-0,07;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;Amphibiaweb;Amphibiaweb;Amphibiaweb;
Eleutherodactylus_unicolor;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;1;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Wells 2007;Amphibiaweb;Amphibiaweb;;;;
Eleutherodactylus_varleyi;Eleutherodactylidae;Terrarana;female-only care ;1;1;0;0;1;1;2;0;2;2;1;1;present;16,25;14;15,13;-0,06;3,75;0,57;4;0,6;44,16;1,64;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Eleutherodactylus_ventrilineatus;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;0;0;2;2;0;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Eleutherodactylus_wightmanae;Eleutherodactylidae;Terrarana;male-only care ;1;1;1;1;NA;NA;2;2;NA;0;0;NA;absent;NA;NA;NA;NA;4,39;0,64;30;1,48;453,86;2,66;Amphibiaweb, Wells 2007;;Amphibiaweb;;;Amphibiaweb;Amphibiaweb
Engystomops_petersi;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;34;NA;NA;NA;1;0;300;2,48;235,5;2,37;IUCN;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Engystomops_pustulatus;Leptodactylidae;Diphyabatracea;female-only care ;1;2;0;0;2;1;2;0;2;0;0;NA;absent;31;28,5;29,75;-0,04;NA;NA;320;2,51;NA;NA;Zamudio et al. 2016;;Amphibiaweb;Amphibiaweb;Amphibiaweb;;Amphibiaweb
Engystomops_pustulosus;Leptodactylidae;Diphyabatracea;biparental care;2;2;1;1;2;1;2;1;2;0;0;1;absent;30,5;NA;NA;NA;1,5;0,18;265;2,42;468,06;2,67;Ryan 1985;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Epidalea_calamita;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;61;NA;NA;NA;1,375;0,14;3560;3,55;5283,54;3,72;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2188;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Epipedobates_anthonyi;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;20;18,1;19,05;-0,04;2;0,3;27,5;1,44;86,35;1,94;Amphibiaweb;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Amphibiaweb;Amphibiaweb
Epipedobates_boulengeri;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;18,5;16,9;17,7;-0,04;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Epipedobates_espinosai;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Epipedobates_machalilla;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;17,6;NA;NA;NA;2,3;0,36;15;1,18;62,29;1,79;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Epipedobates_tricolor;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;23,3;21;22,15;-0,05;NA;NA;16;1,2;NA;NA;Amphibiaweb;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;Han & Fu 2013
Espadarana_prosoblepon;Centrolenidae;Diphyabatracea;female-only care ;1;1;0;0;1;1;2;0;2;0;0;1;absent;26,95;24,1;25,53;-0,05;10;1;26,25;1,42;2060,63;3,31;Amphibiaweb;Gomez-Mestre et al. 2029;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013
Euphlyctis_cyanophlyctis;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;53,38;67;60,19;0,1;1,1;0,04;844;2,93;801,67;2,9;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2162;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Euphlyctis_hexadactylus;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;130;NA;NA;NA;1;0;2000;3,3;1570;3,2;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2284;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Eupsophus_calcaratus;Alsodidae;Crown_Hyloidea;male-only care ;1;2;2;1;0;0;2;2;0;2;1;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;;;;
Exerodonta_juanitae;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;2,19;0,34;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Exerodonta_sumichrasti;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;30,2;26,2;28,2;-0,06;1,605;0,21;NA;NA;NA;NA;Han & Fu 2013, Summers et al. 2006;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013, Summers et al. 2006;
Feihyla_vittata;Rhacophoridae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;25,7;23,6;24,65;-0,04;1,5;0,18;217;2,34;383,28;2,58;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2027;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Fejervarya_cancrivora;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;74,3;58,8;66,55;-0,1;1,5625;0,19;318;2,5;609,45;2,78;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2227;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Fejervarya_limnocharis;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;48,8;39;43,9;-0,1;1,065;0,03;1560;3,19;1388,97;3,14;Han & Fu 2013, Summers et al. 2006;;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013, Summers et al. 2006;Han & Fu 2013
Fejervarya_nicobariensis;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;50,1;42,8;46,45;-0,07;NA;NA;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Flectonotus_fissilis;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;NA;NA;NA;absent;NA;NA;NA;NA;3;0,48;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;Summers et al. 2006;
Flectonotus_fitzgeraldi;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;2;1;1;absent;21,4;NA;NA;NA;3,3;0,52;4;0,6;34,19;1,53;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Flectonotus_pygmaeus;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;2;1;1;absent;29,05;NA;NA;NA;3,5;0,54;8;0,9;76,93;1,89;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Fritziana_goeldii;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;NA;NA;NA;absent;NA;NA;NA;NA;4;0,6;NA;NA;NA;NA;IUCN;;Amphibiaweb;;;Summers et al. 2006;
Gastrophryne_carolinensis;Microhylidae;Microhylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;28;NA;NA;NA;1,15;0,06;1225;3,09;1271,75;3,1;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2036;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Gastrophryne_olivacea;Microhylidae;Microhylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;30,5;NA;NA;NA;0,9875;-0,01;998,5;3;764,35;2,88;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2047;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Gastrotheca_argenteovirens;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;0;0;NA;absent;NA;NA;NA;NA;3;0,48;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;Summers et al. 2006;
Gastrotheca_cornuta;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;2;1;1;present;75,5;NA;NA;NA;9,9;1;10;1;769,38;2,89;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Gastrotheca_fissipes;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;2;1;1;present;81;NA;NA;NA;10;1;24;1,38;1884;3,28;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Gastrotheca_galeata;Hemiphractidae;Hemiphractidae;female-only care ;1;3;0;0;3;1;4;0;4;2;1;1;present;52;NA;NA;NA;5;0,7;20;1,3;392,5;2,59;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Gastrotheca_marsupiata;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;0;0;1;absent;42;NA;NA;NA;2,125;0,33;138;2,14;489,18;2,69;Wells 2007;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Gastrotheca_microdiscus;Hemiphractidae;Hemiphractidae;female-only care ;1;3;0;0;3;1;4;0;4;2;1;NA;present;NA;NA;NA;NA;8;0,9;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;Summers et al. 2006;
Gastrotheca_monticola;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;NA;NA;NA;absent;NA;NA;NA;NA;3;0,48;NA;NA;NA;NA;IUCN;;Amphibiaweb;;;Summers et al. 2006;
Gastrotheca_ovifera;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;NA;NA;NA;absent;NA;NA;NA;NA;8;0,9;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;Summers et al. 2006;
Gastrotheca_plumbea;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;NA;NA;NA;absent;NA;NA;NA;NA;4;0,6;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;Summers et al. 2006;
Gastrotheca_riobambae;Hemiphractidae;Hemiphractidae;female-only care ;1;2;0;0;2;1;4;0;4;NA;NA;NA;absent;NA;NA;NA;NA;3;0,48;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;;;Summers et al. 2006;
Geobatrachus_walkeri;Leptodactylidae;Diphyabatracea;female-only care ;1;1;0;0;1;1;2;0;2;2;1;NA;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;;Amphibiaweb;;;;
Geocrinia_laevis;Myobatrachidae;Australobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;2,475;0,39;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Geocrinia_leai;Myobatrachidae;Australobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;1,85;0,27;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Geocrinia_rosea;Myobatrachidae;Australobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;2,35;0,37;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Geocrinia_victoriana;Myobatrachidae;Australobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;25,5;NA;NA;NA;2,65;0,42;116;2,06;639,47;2,81;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2025;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Gephyromantis_webbi;Mantellidae;Natatanura;male-only care ;1;1;1;1;0;0;2;2;0;0;0;1;absent;30,5;NA;NA;NA;4;0,6;7;0,85;87,92;1,94;Amphibiaweb, Glaw & Vences 2007;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Glandirana_emeljanovi;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;55,4;46;50,7;-0,08;1,8;0,26;1130;3,05;2874,04;3,46;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Glandirana_minima;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;29,05;27;28,03;-0,03;1,275;0,11;262;2,42;334,34;2,52;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2041;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
