Species;Family;Clade;type_of_care;number_of_parents;care_duration;care_duration_in_males;care_in_males_binary;care_duration_in_females;care_in_females_binary;protection;protection_in_males;protection_in_females;nourishment_by_females;nourishment_by_females_binary;terrestrial_reproduction;direct_development;female_SVL ;male_SVL;average_male_female_SVL;SSD;Egg_diameter;Log_egg_diameter;Clutch_size;Log_Clutch_size;Clutch_volume;Log_Clutch_volume;Parental care references;Terrestrial / aquatic reproduction references;Direct development references;Female size references;Male size references;Egg size references;Clutch size references
Leptodactylus_labyrinthicus;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;1;1;1;absent;137,4;136,5;136,95;0;2,055;0,31;3872,25;3,59;12836,8;4,11;Wikipedia;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Leptodactylus_latrans;Leptodactylidae;Diphyabatracea;biparental care;2;2;1;1;2;1;2;1;2;0;0;NA;absent;95;105;36,68;0,04;NA;NA;NA;NA;NA;NA;Encyclopedia of Life;;Amphibiaweb;Amphibiaweb;Amphibiaweb;;
Leptodactylus_leptodactyloides;Leptodactylidae;Diphyabatracea;biparental care;2;2;1;1;2;1;2;1;2;0;0;NA;absent;47,5;40,9;44,2;-0,06;NA;NA;NA;NA;NA;NA;Rodrigues et al 2011;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Leptodactylus_melanonotus;Leptodactylidae;Diphyabatracea;biparental care;2;2;1;1;2;1;2;1;2;0;0;1;absent;45;37,5;41,25;-0,08;1,275;0,11;1500;3,18;1914,17;3,28;IUCN;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Leptodactylus_mystaceus;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;51,45;45,1;48,28;-0,06;2,45;0,39;275,5;2,44;1298,15;3,11;IUCN;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Leptodactylus_mystacinus;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;56,75;56,5;56,63;0;2,875;0,46;258,5;2,41;1677,28;3,22;IUCN;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Leptodactylus_natalensis;Leptodactylidae;Diphyabatracea;biparental care;2;2;1;1;2;1;2;1;2;0;0;NA;absent;NA;NA;NA;NA;NA;NA;1516,5;3,18;NA;NA;Santos & Amorim 2006;;Gomez-Mestre et al. 2012;;;;Santos & Amorim 2008
Leptodactylus_pentadactylus;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;1;1;1;absent;168,25;158;163,13;-0,03;2,625;0,42;1000;3;5409,14;3,73;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Leptodactylus_podicipinus;Leptodactylidae;Diphyabatracea;biparental care;2;2;1;1;2;1;2;1;2;0;0;NA;absent;41,4;39,2;40,3;-0,02;1,1;0,04;2068;3,32;1964,29;3,29;Prado et al 2000, Prado et al 2002, Amphibiaweb;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Summers et al. 2006;Prado at al. 2000
Leptodactylus_rhodomystax;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;76,5;NA;NA;NA;3;0,48;250;2,4;1766,25;3,25;IUCN;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Leptodactylus_validus;Leptodactylidae;Diphyabatracea;biparental care;2;2;1;1;2;1;2;1;2;0;0;NA;absent;44,3;37,8;41,05;-0,07;NA;NA;NA;NA;NA;NA;Wells 2007;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Leptodactylus_wagneri;Leptodactylidae;Diphyabatracea;biparental care;2;1;1;1;1;1;1;1;1;0;0;1;absent;65,45;50;57,73;-0,12;1,375;0,14;2095;3,32;3109,27;3,49;IUCN;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Leptopelis_barbouri;Arthroleptidae;Afrobatrachia;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stuart et al. 2008;;Amphibiaweb;;;;
Leptopelis_karissimbensis;Arthroleptidae;Afrobatrachia;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stuart et al. 2008;;Amphibiaweb;;;;
Leptopelis_parkeri;Arthroleptidae;Afrobatrachia;NA;NA;1;NA;NA;NA;NA;1;NA;NA;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stuart et al. 2008;;Amphibiaweb;;;;
