"country","state","locality","date","sex","life_stage","genus","order","family","geometry"
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Blarina","Soricomorpha","Soricidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Blarina","Soricomorpha","Soricidae",c(-83.565443, 35.565648)
"United States","North Carolina","Clingmans Dome, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Myodes","Rodentia","Cricetidae",c(-83.498496, 35.562872)
"United States","North Carolina","Clingmans Dome, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Peromyscus","Rodentia","Cricetidae",c(-83.498496, 35.562872)
"United States","North Carolina","Clingmans Dome, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Peromyscus","Rodentia","Cricetidae",c(-83.498496, 35.562872)
"United States","North Carolina","Clingmans Dome, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","unknown","","Blarina","Soricomorpha","Soricidae",c(-83.498496, 35.562872)
"United States","North Carolina","Clingmans Dome, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Blarina","Soricomorpha","Soricidae",c(-83.498496, 35.562872)
"United States","North Carolina","Clingmans Dome, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","unknown","","Blarina","Soricomorpha","Soricidae",c(-83.498496, 35.562872)
"United States","North Carolina","Mount Collins, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Sorex","Soricomorpha","Soricidae",c(-83.472939, 35.586206)
"United States","North Carolina","Mount Collins, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Peromyscus","Rodentia","Cricetidae",c(-83.472939, 35.586206)
"United States","North Carolina","Mount Collins, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Peromyscus","Rodentia","Cricetidae",c(-83.472939, 35.586206)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751","13-Oct-25","female","adult","Blarina","Soricomorpha","Soricidae",c(-83.46309696, 35.05764596)
