USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Owyhee,28-May-34,41.94768,-116.09871,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,3 mi S Mt. Rose,19-Aug-34,39.28568,-119.88472,male,,Urocitellus,Rodentia,Sciuridae,8600,8600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Cedar Creek, 10 mi NE San Jacinto",16-Jul-35,41.9,-114.5,male,,Urocitellus,Rodentia,Sciuridae,6000,6000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"6 mi SW Mt. City, Cobb Creek",24-Jul-35,41.77714,-116.04664,female,,Urocitellus,Rodentia,Sciuridae,6500,6500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Goose Creek, 2 mi S Utah line",15-Jul-35,41.96,-114.23,unknown,,Urocitellus,Rodentia,Sciuridae,5000,5000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",18-May-36,39.59,-117.16,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",18-May-36,39.59,-117.16,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",18-May-36,39.59,-117.16,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",18-May-36,39.59,-117.16,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",18-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Reese River Valley, 7 mi N Austin",18-May-36,39.59,-117.16,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
