"lnPerform" "lnTestes" "lnProt" "Fat.trans" "lnWtgain" "Elytra" "Horn" "Ec.Weight.trans" "Adult.diet" "EndBBweight" "Developmenttime"
"18" 3.25424296870549 3.09104245335832 9.03121370607875 0.74 5.95583736946483 3.215 1.206 4.08 1 1.3846 29
"19" NA NA NA NA NA 3.347 1.122 4.05 1 1.4414 31
"20" 3.74950407593037 3.2188758248682 7.7621706071382 0.74 6.06842558824411 3.713 1.369 4.8 1 2.1345 32
"21" 3.89182029811063 2.99573227355399 7.80384330353877 0.54 5.82600010738045 3.587 1.29 4.37 1 1.6172 30
"22" 3.72569342723665 3.09104245335832 8.54286093816481 0.75 6.05443934626937 3.582 1.371 4.84 1 2.0325 34
"23" 3.66356164612965 2.99573227355399 8.53109609658523 0.67 5.96870755998537 3.446 1.228 3.98 1 1.6292 32
"24" 3.81990771652034 2.484906649788 NA 0.53 5.78074351579233 3.16 1.041 3.1 1 1.052 27
"25" NA NA NA NA NA 3.387 1.056 3.53 1 1.4371 31
"26" 4.09767235231478 2.484906649788 7.94979721616185 0.73 5.98896141688986 3.48 1.153 4.49 1 1.6517 28
"27" 3.88362353090645 2.99573227355399 8.00302866638473 0.83 5.94803498918065 3.504 1.146 4.35 1 1.8715 30
"28" NA NA NA NA NA 3.018 0.559 2.74 1 0.9402 32
"29" 2.86220088092947 2.83321334405622 7.76387128782022 0.46 5.25227342804663 2.7 0.463 2.43 1 1.4655 34
"30" 4.2076732475291 3.25809653802148 8.42068229103539 NA 5.98645200528444 3.559 1.144 3.67 1 1.7025 30
"31" 3.7796338173824 2.99573227355399 8.52912176228151 0.59 5.8348107370626 3.286 1.066 3.56 1 1.4308 30
"32" 3.57794789340665 3.17805383034795 8.3187422526924 0.59 5.85220247977447 3.111 1.056 3.04 1 1.006 31
"33" 3.91402100809082 3.09104245335832 8.17018565287964 0.71 6.10924758276437 3.56 1.142 4.25 1 1.8252 36
"34" 3.5918177412708 3.13549421592915 8.97233695775495 0.61 5.76832099579377 3.26 1.025 2.98 1 1.3777 31
"35" 3.05400118167797 2.77258872223978 8.84707231256781 0.36 5.53338948872752 3 0.735 2.57 1 1.1864 36
"36" 3.27714473299218 3.09104245335832 8.29903718161307 0.56 5.73657229747919 3.337 0.911 3.03 1 1.0146 30
"37" 3.83729945923221 3.17805383034795 7.8935720735049 0.64 5.99645208861902 3.542 1.298 5.11 1 1.2288 30
"38" NA NA NA NA NA 3.295 1.013 3.38 1 1.7347 28
"39" 3.76815263500844 2.77258872223978 8.77955745588373 0.52 5.74939298590825 3.322 0.99 3.15 1 0.989 28
"40" 3.87535902105655 2.94443897916644 8.07527154629746 0.76 5.92425579741453 3.233 1.097 3.38 1 1.9526 34
"41" 3.6163087612791 2.99573227355399 7.98139158158007 0.71 6.06842558824411 3.518 1.121 4.05 1 1.4839 33
"42" 3.56104608260405 2.99573227355399 8.12740456269308 0.66 6.06842558824411 3.434 1.168 4.05 1 1.5158 32
"43" 3.13983261752775 2.77258872223978 NA 0.37 5.48479693349065 2.887 0.715 2.62 1 0.8726 27
"44" 3.99452422693989 3.09104245335832 8.05832730658096 0.77 5.95324333428778 3.568 1.251 4.25 1 1.6754 30
"45" 3.81990771652034 2.70805020110221 7.8935720735049 0.41 5.67675380226828 3.345 1.038 3.05 1 1.1935 28
"46" 3.23080439573347 3.04452243772342 7.64300363556072 0.49 5.92958914338989 3.491 1.136 3.54 1 1.5642 32
"47" 2.64617479738412 2.89037175789616 7.87092959675514 0.35 5.31320597904179 2.867 0.407 1.93 1 1.2036 30
"48" 4.01818320125654 NA 8.98343977178426 0.29 5.80211837537706 3.377 1.191 3.9 2 1.889 31
"49" 3.73528582692809 2.56494935746154 8.12266802334641 0.22 5.77765232322266 3.023 0.862 2.87 2 0.8905 31
"50" 3.89589362349826 2.99573227355399 7.58578882173203 NA 5.96614673912369 3.302 1.072 3.48 2 1.3303 31
"51" NA NA NA NA NA 2.912 0.569 2.86 2 0.9824 32
"52" 4.09100566095659 3.2188758248682 8.63408694288774 0.73 6.06145691892802 3.521 1.177 4.48 2 1.6556 29
"53" NA NA NA NA NA 3.228 1.022 3.5 2 1.2689 29
"54" 3.76815263500844 2.70805020110221 7.97933889526233 0.38 6.04500531403601 3.545 1.216 4.22 2 1.1702 29
"55" 3.67882911826043 2.63905732961526 NA 0.04 5.53733426701854 3.467 1.178 4.42 2 1.756 30
