COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,DETECTED,NOT_DETECTED,SEX,WEIGHT,LIFE_STAGE,EXAMINED_FOR,NOT_EXAMINED_FOR,SPECIES
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",14-Oct-25,35.05777798,-83.46258298,endoparasite,ectoparasite,male,8.1 g,adult,ectoparasite; endoparasite,,Sorex fumeus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",,35.05775602,-83.46253797,ectoparasite: flea; endoparasite,,male,12 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",,35.05780597,-83.46248098,ectoparasite: mite; endoparasite,,male,12.5 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",13-Oct-25,35.05774302,-83.46233102,endoparasite,ectoparasite,male,3.7 g,adult,ectoparasite; endoparasite,,Sorex cinereus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",14-Oct-25,35.05804804,-83.46228903,endoparasite,ectoparasite,female,,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",14-Oct-25,35.05804997,-83.462283,ectoparasite; endoparasite,,female,11.5 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",14-Oct-25,35.05757698,-83.46224,endoparasite,ectoparasite,male,2.0 g,adult,ectoparasite; endoparasite,,Sorex hoyi
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",12-Oct-25,35.03903897,-83.45303399,ectoparasite; endoparasite,,male,15.4 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",11-Oct-25,35.03910997,-83.45277197,ectoparasite,endoparasite,female,10 g,juvenile,,ectoparasite; endoparasite,
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",19-Apr-25,35.03891802,-83.45256401,ectoparasite,endoparasite,male,20.2 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",19-Apr-25,35.03893998,-83.45252696,ectoparasite,endoparasite,male,14.9 g,subadult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",23-Apr-25,35.03898097,-83.45251297,ectoparasite,endoparasite,female,8.6 g,juvenile,ectoparasite,endoparasite,
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",22-Apr-25,35.038396,-83.45248598,ectoparasite; endoparasite,,male,18.1 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",23-Apr-25,35.03907904,-83.45248003,ectoparasite,endoparasite,male,17.2 g,subadult,ectoparasite,endoparasite,
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.57 km ENE Albert Mountain, along FR 751",11-Oct-25,35.03871401,-83.45247097,,ectoparasite; endoparasite,female,22.5 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",1-Aug-25,35.038871,-83.452462,ectoparasite,endoparasite,female,28 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",21-Apr-25,35.03830296,-83.45245698,ectoparasite; endoparasite,,male,8.0 g,adult,ectoparasite; endoparasite,,Sorex fumeus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",22-Apr-25,35.03830296,-83.45245698,ectoparasite; endoparasite,,male,7.9 g,adult,ectoparasite; endoparasite,,Sorex fumeus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",1-Aug-25,35.03905599,-83.45245597,,ectoparasite; endoparasite,female,18 g,adult,,ectoparasite; endoparasite,
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",30-Jul-25,35.03854704,-83.45245002,ectoparasite; endoparasite,,female,5.6 g,adult,ectoparasite; endoparasite,,Sorex fumeus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",2-Aug-25,35.03906404,-83.45240098,,ectoparasite; endoparasite,male,,adult,,ectoparasite; endoparasite,Peromyscus leucopus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",24-Apr-25,35.03856397,-83.45239897,,ectoparasite; endoparasite,male,20.7 g,adult,,ectoparasite; endoparasite,Napeozapus insignis
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",31-Jul-25,35.03890998,-83.45238296,,ectoparasite; endoparasite,female,13.5 g,subadult,,ectoparasite; endoparasite,Peromyscus leucopus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",21-Apr-25,35.038799,-83.45236704,ectoparasite,endoparasite,male,15.7 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",24-Apr-25,35.03831101,-83.45236201,,ectoparasite; endoparasite,male,20 g,adult,,ectoparasite; endoparasite,Napeozapus insignis
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",30-Jul-25,35.03900503,-83.45234902,,ectoparasite; endoparasite,male,20.9 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",19-Apr-25,35.03827698,-83.45233301,ectoparasite; endoparasite,,male,16.1 g,adult,ectoparasite; endoparasite,,Blarina brevicauda
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",11-Oct-25,35.03913503,-83.45231599,endoparasite,ectoparasite,female,3.3 g,adult,ectoparasite; endoparasite,,Sorex cinereus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",31-Jul-25,35.03909396,-83.45231398,,ectoparasite; endoparasite,male,16.5 g,adult,,ectoparasite; endoparasite,Peromyscus leucopus
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",19-Apr-25,35.03879598,-83.45231197,ectoparasite,endoparasite,female,18.6 g,adult,ectoparasite,endoparasite,
United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",19-Apr-25,35.038827,-83.45229596,ectoparasite,endoparasite,male,16.4 g,adult,ectoparasite,endoparasite,Peromyscus maniculatus
